State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2
S,5,1,0,0.4,thread_HzPEs3zimtgNcAyTGbaorrkF,0.0,-0.071,-0.199,-0.134,0.000,0.000,0.000
I,0,2,0,0.4,thread_vGJecjhyoMC20QkaZOSyqW8r,0.0,0.015,-0.137,-0.061,0.000,0.000,0.000
I,0,2,0,0.4,thread_nRp4AvjhN2a1YuS6DCiHanmk,0.0,0.014,-0.271,-0.131,0.000,0.000,0.000
I,0,2,0,0.4,thread_bmPko12zzcdpvsY3HjZwMXNE,0.0,0.070,-0.088,-0.009,0.000,0.000,0.000
I,0,2,0,0.4,thread_NIrNxIA0inzYpc7smVswEyDW,0.0,0.008,-0.153,-0.072,0.000,0.000,0.000
I,0,2,0,0.4,thread_WFL8O3BOh30d0i5LIjTTtofQ,0.0,0.012,-0.157,-0.073,0.000,0.000,0.000
I,0,2,0,0.4,thread_bg8hysgfegB7wsAYqOFeuZx0,0.0,-0.018,-0.224,-0.121,0.000,0.000,0.000
I,0,2,0,0.4,thread_nSfcTCuCFHDinkeTYK1Ow7Mr,1.0,0.117,-0.192,-0.040,0.500,0.333,1.000
I,0,2,0,0.4,thread_pnqinnryYxL29jqTfzG7eh7O,1.0,0.084,-0.318,-0.124,0.667,0.500,1.000
I,0,2,0,0.4,thread_zcM3jV0DBp8sRl668wh6rjfh,1.0,0.134,-0.245,-0.061,0.200,0.167,0.250
I,0,2,0,0.4,thread_4CMz3GMPuM4QQn0E6qyg0GhV,0.0,0.016,-0.220,-0.103,0.000,0.000,0.000
I,1,2,0,0.4,thread_czRsPdE7GW2oHioqdY88OgO2,1.0,0.277,-0.316,-0.036,0.600,0.429,1.000
I,1,2,0,0.4,thread_4ihGfHyV2jt41MNevBBd5YJK,1.0,0.244,-0.412,-0.104,0.727,0.571,1.000
I,1,2,0,0.4,thread_ezNdRZJysR1lZ1VpLELNLd0K,1.0,0.244,-0.412,-0.104,0.727,0.571,1.000
I,1,2,0,0.4,thread_qByeUDIRxtKtLOUTRnC3LdbG,1.0,0.244,-0.412,-0.104,0.727,0.571,1.000
I,1,2,0,0.4,thread_jvzA8XeiTdy4FjoCEOcbBdHI,1.0,0.244,-0.412,-0.104,0.727,0.571,1.000
I,1,2,0,0.4,thread_bU8udmiP1xGrH0PTDcF65vLM,1.0,0.244,-0.412,-0.104,0.727,0.571,1.000
